Density,,Velocity,,Specific Internal Energy,,Pressure,
x,y,x,y,x,y,x,y
0,1,0,0,0,2.5,0,1.00E+00
0.107496464,1,0.110903147,0,0.111094224,2.5,0.113916489,1.00E+00
0.198019802,0.615523466,0.189860017,0.420194979,0.178898713,2.149109083,0.146643377,0.756272401
0.323903819,0.321299639,0.286993302,0.778639766,0.264807646,1.786143173,0.196308395,5.27E-01
0.456859972,0.167870036,0.388277686,1.080712614,0.361963684,1.480934457,0.269890961,2.99E-01
0.524752475,0.252707581,0.45862041,1.296819373,0.423062825,1.308210029,0.348131512,0.17562724
0.611032532,0.28700361,0.466885766,1.147297732,0.457814414,1.233410519,0.456051601,0.086021505
0.611032532,0.182310469,0.507335657,0.924378747,0.469133043,1.337321973,0.505504892,0.139784946
0.697312588,0.19133574,0.589900791,0.740895704,0.509731697,1.435633119,0.595685314,0.17921147
0.790664781,0.202166065,0.687972372,0.635947544,0.561443349,1.505162225,0.681525339,0.189964158
0.796322489,0.124548736,0.788893228,0.575146455,0.60891722,1.540051497,0.788477534,0.204301075
1,0.124548736,0.79112598,0,0.613119239,2.451614201,0.792281052,0.105734767
,,1,0,0.663319952,2.44613459,1,0.105734767
,,,,0.791669274,2.46995199,,
,,,,0.79234875,2,,
,,,,1,2,,
